word,비교A,비교B
생물학적 탈질소,1,1
석유 대체 에너지,1,1
석면,1,1
생물활성탄법,1,1
소비자의 권리,1,1
세제,1,1
세계환경보전전략,1,1
석탄액화·석탄가스화,1,1
세계자연보호기금,1,1
소비자단체,1,1
세계자원연구소,1,1
석유파동,1,1
세계기후계획,1,1
선오염원,1,1
소비사회,1,1
세계 환경의 날,1,1
소나무고사,1,1
소음성 난청,1,1
소각장·소각,1,1
소음수준,1,1
세계보건기구,1,1
세슘,1,1
소음레벨,1,1
세계기상기구,1,1
석유수출국기구,1,1
석유화학폐수,1,1
선량한도,1,1
석유비축,1,1
석유콤비나트,1,1
세계의 에너지,1,1
수질오염물질,1,1
송충이,1,1
소포제,1,1
시설원예,1,1
습식공기산화,1,1
수은,1,1
수질개선부담금,1,1
수도관코팅,1,1
수은화합물,1,1
스트론튬,1,1
스티로폴,1,1
습지,1,1
소음장해,1,1
수익자부담원칙,1,1
수소 에너지,1,1
솔러시스템,1,1
시안,1,1
수질오염,1,1
수질환경,1,1
수질오염사고,1,1
수돗물,1,1
스모그,1,1
슬러지,1,1
수소이온농도,1,1
스미치온,1,1
수산화나트륨,1,1
솔러카,1,1
수은중독,1,1
시민단체,1,1
수자원,1,1
수력발전,1,1
아세트알데히드,1,1
쓰레기 소각로,1,1
아황산가스,1,1
식량위기,1,1
식량원조,1,1
알드린,1,1
식량 자급률,1,1
식물의 광합성,1,1
식기공해,1,1
아황산,1,1
아젠다21,1,1
식물연쇄,1,1
식염 섭취량,1,1
식물 신품종 보호에 관한 국제동맹,1,1
알코올자동차,1,1
식량비축,1,1
알루미늄 호일,1,1
쓰레기종량제,1,1
시안화합물,1,1
식품공해,1,1
암모니아성 질소,1,1
엘리뇨,1,1
알킬수은,1,1
알파선,1,1
야생 생물 보호 지역,1,1
에어로솔 분사제,1,1
엔드린,1,1
야생 생물 보호 구역,1,1
여과,1,1
약품침전,1,1
액화석유가스,1,1
역전층,1,1
엘니뇨현상,1,1
에너지 수요,1,1
엔트로피,1,1
앨드린,1,1
에어로솔,1,1
액화 천연가스,1,1
암모니아,1,1
에코 산업혁명,1,1
연성세제,1,1
염소,1,1
염화불화탄소,1,1
열병합발전,1,1
열오염,1,1
열대야,1,1
염화물,1,1
연기,1,1
열파,1,1
염화수소,1,1
염소계 표백제,1,1
염류집적,1,1
염소처리,1,1
염화비닐리덴,1,1
열역학,1,1
염화알루미늄,1,1
연안어업,1,1
염해지,1,1
연해,1,1
염화비닐,1,1
염산,1,1
열대림 행동계획,1,1
염소주입량,1,1
온실효과,1,1
오니소각로,1,1
온실가스 배출거래량,1,1
오존 홀,1,1
오니농축,1,1
완속여과,1,1
오존층파괴지수,1,1
오염자부담의 원칙,1,1
온배수,1,1
오존,1,1
영구경수,1,1
오염자 부담 원칙,1,1
오일 펜스,1,1
오존층 파괴,1,1
오일 셸·오일 샌드,1,1
오니,1,1
오존처리,1,1
옥탄가,1,1
오존층,1,1
오염부하량,1,1
오존 트렌드 위원회,1,1
온산병·온산,1,1
오염경보제,1,1
오염물질,1,1
온배수공해,1,1
영양 염류,1,1
월경산성비,1,1
위생매립,1,1
유기염소제,1,1
원내감염,1,1
우주쓰레기,1,1
유기수은제,1,1
월경공해,1,1
원자력발전소·핵발전소,1,1
원진레이온,1,1
우산효과,1,1
월드워치,1,1
원유,1,1
유기농법,1,1
용존산소,1,1
우유팩 회수,1,1
우레탄 폼,1,1
워싱턴조약,1,1
우주선 지구호,1,1
유기할로겐,1,1
이동경작,1,1
유엔 인간 환경회의,1,1
유전자 자원,1,1
유해 화학물질 오염,1,1
이상기상,1,1
이산화질소,1,1
유입부하량,1,1
유네스코,1,1
음이온 계면활성제,1,1
음식쓰레기,1,1
윤작,1,1
이동농법,1,1
유기질 비료,1,1
유동층소각로,1,1
유기용제중독,1,1
이온교환 수처리,1,1
유기인,1,1
의료계폐기물,1,1
유화제,1,1
유기주석오염,1,1
이동발생원,1,1
이산화황,1,1
이산화탄소,1,1
음식물 쓰레기 퇴비화 공장,1,1
유엔환경계획,1,1
인스턴트 식품,1,1
인공 방사능,1,1
자연주의자,1,1
자연염,1,1
자연학습·자연학습장,1,1
일산화질소,1,1
인공섬,1,1
자동차 공해,1,1
일산화탄소,1,1
이원급수,1,1
자동차배기가스,1,1
인분뇨,1,1
자연방사능,1,1
임호프 탱크,1,1
일회용품,1,1
자연보호,1,1
일산효과,1,1
인분거름,1,1
일조권,1,1
저유황유,1,1
자외선,1,1
저인망 어업,1,1
저주파 공기진동,1,1
잔류농약,1,1
잔디착색제,1,1
전기자동차,1,1
전기 집진기,1,1
재생가능한 자원,1,1
재개발사업,1,1
자원 재활용,1,1
저수조,1,1
적조,1,1
전력,1,1
재난,1,1
재활용,1,1
저독성,1,1
재생지,1,1
전염소처리,1,1
저유황 연료,1,1
저공해 차,1,1
저주파음 공해,1,1
제올라이트,1,1
준설,1,1
제초제,1,1
준공공재,1,1
정부의 환경정보계획,1,1
종 다양성,1,1
조력발전,1,1
전자파,1,1
조경,1,1
전력 피크,1,1
종말 처리장,1,1
제트 여객기,1,1
제로미터 지대,1,1
종이기저귀,1,1
전생애평가·전과정평가,1,1
조류,1,1
중수도,1,1
지구기업,1,1
지표식물,1,1
지구 서미트,1,1
지역 에너지,1,1
지속가능한 개발,1,1
증기기관차,1,1
지구환경 모니터시스템,1,1
지구생물권 국제공동 연구계획,1,1
중금속,1,1
지구온난화 방지조약,1,1
지구온난화 현상,1,1
중독,1,1
지구사막화,1,1
중유,1,1
지속적 경제성장,1,1
지력,1,1
지구환경기금,1,1
지중축열,1,1
지구환경 모니터링 시스템,1,1
지구관측 위성,1,1
중성세제,1,1
지역자급,1,1
지구의 날,1,1
지표종·지표생물,1,1
지역 냉난방,1,1
중성,1,1
지역열공급,1,1
지하수 오염,1,1
차음재료,1,1
집진장치,1,1
철새,1,1
천일염,1,1
철도,1,1
차음벽,1,1
청정기술,1,1
지하수,1,1
청정연료,1,1
진동레벨,1,1
철 박테리아,1,1
지하수 개발,1,1
철,1,1
집중호우,1,1
천식,1,1
청색증,1,1
질소산화물,1,1
천연가스 자동차,1,1
채식주의자,1,1
천적농약,1,1
진동,1,1
축산폐수,1,1
칼슘,1,1
칼륨,1,1
총수은,1,1
측정망·자동측정망,1,1
클로즈드 시스템,1,1
총질소,1,1
총질소·전질소,1,1
총인,1,1
크롬,1,1
침사지,1,1
축산단지,1,1
촉매장치,1,1
캡탄,1,1
타르계 색소,1,1
카드뮴,1,1
클로로포름,1,1
토양 침식,1,1
타벤다졸,1,1
탄광,1,1
테크놀로지 어세스먼트,1,1
태양 흑점,1,1
탄소세,1,1
토양오염물질,1,1
토양 소독,1,1
토양 유출,1,1
토론토 회의,1,1
토양오염,1,1
탁도,1,1
토론토 서미트 경제선언,1,1
탄화수소,1,1
토양의 산성화,1,1
토지의 사막화,1,1
토양개량제,1,1
탄산연,1,1
탈원자력발전,1,1
토양 오염,1,1
테트라클로로에틸렌,1,1
탄산칼슘,1,1
택지 개발,1,1
특정 플론 대책,1,1
특정 폐기물,1,1
트리튬,1,1
통상산업부,1,1
페르메트린,1,1
특수독성,1,1
파라코트,1,1
트리할로메탄,1,1
트리폐닐 주석 화합물,1,1
편서풍,1,1
트리클로로에틸렌,1,1
페놀,1,1
톨루엔,1,1
특정대기유해물질,1,1
트롤 어법,1,1
파라티온·메틸 파라티온,1,1
투수성 포장,1,1
퇴비,1,1
팩 식품,1,1
폐유,1,1
폐기물 무역,1,1
폐수,1,1
폐기물 처분,1,1
폐기물 처리,1,1
포스트하비스트,1,1
표백제,1,1
품종개량,1,1
표토,1,1
표준활성오니법,1,1
폭기시간,1,1
폐유볼,1,1
포스겐,1,1
포장폐기물,1,1
풍력발전,1,1
폭기,1,1
폐암,1,1
폐유비누,1,1
폐기물 감량,1,1
폴리염화 비폐닐,1,1
퓸,1,1
폐쇄수역,1,1
폐알카리,1,1
폐사,1,1
포디즘,1,1
포경,1,1
표면처리,1,1
표토유출,1,1
표백,1,1
할로가스,1,1
한계치사 농도,1,1
한중 환경협력공동위원회,1,1
플랑크톤,1,1
플루토늄,1,1
한일환경협정,1,1
하구언 공사,1,1
플랑크톤 조절,1,1
피폭자,1,1
합성보존제,1,1
플랜테이션,1,1
하수처리법,1,1
하이테크 공해,1,1
플라스틱,1,1
피렌,1,1
프레온가스,1,1
합성세제,1,1
항공소음,1,1
할로겐,1,1
플라스틱제품,1,1
해양의 석유오염,1,1
해양보호법률과 조약,1,1
해양배출,1,1
핵 재처리,1,1
해양생태계,1,1
해양오염,1,1
핵사찰,1,1
해수오염,1,1
핵폐기물,1,1
핵융합,1,1
핵무기,1,1
해면상승,1,1
해양의 탄산가스 흡수,1,1
해양대순환,1,1
핵확산금지조약,1,1
핵연료 재처리,1,1
핵발전소·원자력발전소,1,1
핵에너지·원자력,1,1
핵 산업,1,1
해양상 소각,1,1
해저 자원,1,1
해저 석유,1,1
헥사클로로에탄,1,1
화석연료 매장량,1,1
화학적 산소요구량,1,1
환경경영체제,1,1
형광표백제,1,1
호기성 세균,1,1
환경관리공단,1,1
호소,1,1
화학병기,1,1
화력발전,1,1
혐오시설,1,1
화전,1,1
화학에너지,1,1
호기성 분해,1,1
헤드로,1,1
화학조미료,1,1
환경경영체제 심사·EMS심사,1,1
혐기성 세균,1,1
환경개선부담금제도,1,1
화석연료,1,1
화학비료,1,1
활성오니법,1,1
환경외교,1,1
흡음,1,1
환경세,1,1
환경제국주의,1,1
활성탄,1,1
환경권,1,1
휴식년제,1,1
환경교육,1,1
환경배려 가이드라인,1,1
황사,1,1
흡착,1,1
환경용적,1,1
환경마크제도,1,1
환경자원론,1,1
환경정보 전산망,1,1
환금작물,1,1
환경기초시설,1,1
환경교환,1,1
환경시장,1,1
환경영향평가,1,1
간대성토양,1,
강수효율,1,
개발지수,1,
건조지수,1,
공정계획,1,
나무실어내기,1,
돌연변이유도물질,1,
무생물적,1,
무생물적환경,1,
무역환경위원회,1,
밀도비의존요인,1,
가이아,1,
경도,1,
계면활성제,1,
다이옥신,1,
덕트,1,
동경선언,1,
링겔만 매연 농도표,1,
먹이연쇄,1,
브라운 운동,1,
백필터,1,
사후처리기술,1,
삼원촉매장치,1,
성층현상,1,
시·엔 비,1,
에스에이알,1,
음이온교환수지,1,
이따이이따이병,1,
피피비,1,
피피엠,1,
회전원판접촉법,1,
T-N,1,
T-P,1,
TS,1,
VS,1,
pH,1,
ASNA,1,
미나마따병,1,
이따이이따이 병,1,
national trust,1,
LD 50,1,
Leq,1,
2백해리 수역-EEZ,1,
WECPNL,1,
가스 크로마토 그래프,1,
가스검지관,1,
감마,1,
고기후학,1,
건조단열감률,1,
고압신경증후군,1,
고생물학,1,
과망간산 칼륨소비량,1,
규제치·기준치,1,
기후변동에 관한 정부간 심의회,1,
네오다위니즘,1,
내셔널 트러스트,1,
다이옥신의 독성과 규제치,1,
단백공학,1,
대륙 이동설,1,
딥 에콜로지,1,
람사조약,1,
라이프사이를,1,
데시벨,1,
라인강오염사고,1,
도노라사건,1,
"러셀, 아인슈타인 선언",1,
러브 운하 사건·러브 캐널 사건,1,
렘,1,
레벨,1,
록카쇼무라 원자력기지,1,
링겔만 매연 농도표,1,
마루폴73/78조약,1,
로스앤젤레스 스모그  사건,1,
레드 데이터 북,1,
리우 선언·환경과 개발에 관한 리우 선언,1,
룩셈부르크 합의,1,
모니터링,1,
멜트 다운,1,
모터크로스,1,
매향리 미군기지,1,
물고기 독성시험,1,
발디즈 원칙,1,
반수치사량,1,
발생공학,1,
북해의 바다표범 대량사 사건,1,
분자생물학,1,
북미 대평원 지대,1,
비용·편익분석,1,
비정부기구와 환경단체,1,
사바·사라와크 주,1,
사회생물학,1,
산업연관분석,1,
사회적 비용,1,
생명공학,1,
생물경제학,1,
생태지향주의,1,
서기 2000년의 지구,1,
생태학,1,
생활기후학,1,
생물학적 산소요구량,1,
성장한계론,1,
스테이드 오브 더 월드,1,
식량 안전보장,1,
식물성장조정제,1,
알슈서미트,1,
에스원 댐,1,
액상화 현상,1,
염소가스중독,1,
연속회분식 활성 슬러지공법,1,
예치금제도,1,
오타와 서미트,1,
영종도 신공항,1,
원자력발전소의 수명,1,
원자력발전소의 출력 조정 운전,1,
외부 불경제,1,
원자로의 폭격,1,
유기염소 화합물,1,
유기염소계 용제,1,
원자로심 용융,1,
원자력발전소의 사고,1,
원유유출 사고,1,
웨스팅하우스,1,
우루과이 라운드,1,
위험평가제도,1,
유엔 해양법 회의,1,
유리잔류염소,1,
유엔개발계획,1,
유엔 해양법 조약,1,
이타이이타이병,1,
자동차의 사회적 비용,1,
자연자원의 공익적 기능,1,
인공 감미료,1,
자원 다소비형 산업,1,
자원 낭비,1,
저칼로리 식품,1,
작업환경,1,
정상 개방계,1,
죽음의 재,1,
정부개발원조,1,
주파수 분석,1,
전지구적 문제·지구환경,1,
제2차 세계 기후회의,1,
전파 장애,1,
점 오염원,1,
지구물리학,1,
천연기념물,1,
채무와 자연보호의 교환,1,
청감보정회로,1,
클라우디우스,1,
카린 B호 사건,1,
총인·전인,1,
침묵의 봄,1,
침몰하는 방주,1,
카르노 사이클,1,
체르노빌 원자력발전소 사고,1,
테크놀로지 스트레스,1,
토양 유출의 2차 재해,1,
페레스트로이카와 환경문제,1,
패스트푸드점,1,
팀 스피리트,1,
트럭 수송,1,
페르시아 만 전쟁의 환경파괴,1,
특정 플론,1,
페르시아 만 전쟁,1,
플리 마켓,1,
하수 오니 처리사업,1,
플로노로에스테 사건,1,
플라스틱 공해,1,
해저 유전,1,
해양생태학,1,
해양 투기,1,
"해양오염 방지 자재, 약재의 성능시험 기준",1,
핵연료의 수송,1,
핵의 겨울,1,
해면 상승에 관한 소국회의,1,
해양관측선,1,
환경공학,1,
환경관리인,1,
환경과 개발에 관한 세계위원회,1,
환경감시원,1,
환경경영체제 규격,1,
화학물질에 대한 수출 상대국에 사전통보,1,
혐기성 분해,1,
헬싱키 선언,1,
환경성과 평가규격,1,
환경의 유한성,1,
환경의 날·세계환경의 날,1,
후 염소처리,1,
환경라벨링 규격,1,
